Name,Age,AADHAR_No,PAN_No,Gender,Account_No,Caste,PIN_Code,Annual_Income,Govt_Schemes_Availed,Scheme_Under_Ministry,Eligible_for_PM_KISAN
Upadhriti Bhatti,33,515-98-1452,mAIzX49734,Male,520086186365,Other,008659,114246,MNREGA,Ministry of Rural Development,Yes
Dalaja Kakar,78,566-72-8220,urBWQ99802,Female,675700085554,General,420730,71980,Scholarship,Ministry of Education,Yes
Teerth Chokshi,30,590-43-4830,Hspne89325,Male,423723635549,General,091203,261380,Ayushman Bharat,Ministry of Health and Family Welfare,No
Vinaya Sathe,61,350-72-3978,znPnA13780,Male,823002286030,OBC,459670,107271,MNREGA,Ministry of Rural Development,Yes
Deepa Contractor,25,673-64-7631,mwtlO51370,Female,062537259206,OBC,428148,555447,Scholarship,Ministry of Education,No
Anya Dada,62,918-90-3776,UnNIr88808,Female,966783187096,ST,719985,160516,Scholarship,Ministry of Education,No
Chakradhar Gulati,58,630-86-1234,ZyTEb48656,Female,737896830758,OBC,090371,876747,Ayushman Bharat,Ministry of Health and Family Welfare,No
Wakeeta Luthra,45,155-61-7252,HzyZa97800,Male,886465647372,SC,854422,134058,PMAY,Ministry of Housing and Urban Affairs,Yes
Chandani Gaba,61,463-18-6133,WGZnm28170,Female,439536779949,General,131987,851214,PDS,Ministry of Consumer Affairs,No
Ikbal Nayar,42,032-06-2400,jdkwz74896,Male,503411413161,General,459844,25389,Scholarship,Ministry of Education,Yes
Ojasvi Chaudhari,40,852-74-1879,XAspd38720,Male,017771825399,General,336289,358296,PMAY,Ministry of Housing and Urban Affairs,No
Amaira Borra,43,609-64-5495,VgKKN11230,Female,790004341528,ST,270523,78793,MNREGA,Ministry of Rural Development,Yes
Qadim Dube,69,987-42-0641,oxIxz36694,Female,335994726014,General,055022,711882,PDS,Ministry of Consumer Affairs,No
Tarak Shere,56,243-61-4877,CGEOO86574,Male,854730315121,General,532781,878198,Scholarship,Ministry of Education,No
Ethan Savant,56,086-30-7911,FztCe66978,Male,272698934506,OBC,846158,669656,PDS,Ministry of Consumer Affairs,No
Ikshita Kata,69,947-69-9837,BtozN93372,Female,644903189254,SC,318974,812349,MNREGA,Ministry of Rural Development,No
Raksha Saran,76,069-28-3738,YOqmq76179,Female,487079076709,OBC,254420,508524,MNREGA,Ministry of Rural Development,No
Wriddhish Ratti,49,927-96-4650,GzcJJ41216,Male,720770821212,General,340567,855600,PDS,Ministry of Consumer Affairs,No
Gunbir Sarkar,19,252-45-0699,SLETN05178,Male,956111425387,General,977461,132448,PDS,Ministry of Consumer Affairs,Yes
Arjun Tripathi,39,780-82-5556,kBZUN09459,Female,098334232402,OBC,614678,526867,MNREGA,Ministry of Rural Development,No
Ansh Patla,29,620-91-9286,cBMZD80603,Female,996846047762,ST,791676,758003,PDS,Ministry of Consumer Affairs,No
Vedhika Kohli,23,270-06-0373,JqJyg90579,Female,140218387588,OBC,839249,276018,Ayushman Bharat,Ministry of Health and Family Welfare,No
Ekanta Raju,26,200-93-2013,PVZpl62839,Female,338000086428,General,492053,795673,PDS,Ministry of Consumer Affairs,No
Waida Vig,39,356-71-6880,uSJQd93597,Female,846027504471,General,402904,793196,Ayushman Bharat,Ministry of Health and Family Welfare,No
Henry Date,47,034-31-3674,PayRt58611,Female,666932326213,General,984344,837885,MNREGA,Ministry of Rural Development,No
Vaishnavi Saini,55,133-52-8984,hmPKD65733,Other,919777430703,OBC,909091,986569,PMAY,Ministry of Housing and Urban Affairs,No
Chandresh Chandran,34,979-59-5823,DETve37755,Male,326108661728,General,915115,464292,Scholarship,Ministry of Education,No
Daksh Palan,26,467-64-1072,LcSkq59999,Female,190077690069,OBC,312631,28519,PDS,Ministry of Consumer Affairs,Yes
Sachi Mistry,27,117-51-3507,cpCMo67569,Female,170825912244,OBC,373619,660060,PDS,Ministry of Consumer Affairs,No
Neel Nath,43,609-69-7677,ooLbj48205,Male,463891145415,General,701698,261946,PMAY,Ministry of Housing and Urban Affairs,No
Kamya Pandit,75,061-08-1818,WwRia60482,Female,348938894328,OBC,927818,245319,Scholarship,Ministry of Education,No
Watika Dube,22,099-64-0577,ilaMJ04721,Male,406521716089,General,059620,351201,MNREGA,Ministry of Rural Development,No
Yash Anand,24,479-79-2116,znqCA02750,Female,383629827003,General,188312,863966,MNREGA,Ministry of Rural Development,No
Jatin Cheema,32,083-03-2560,WoJUm96565,Female,703698825735,OBC,350066,732324,PMAY,Ministry of Housing and Urban Affairs,No
Gavin Ramachandran,61,459-85-7375,GcJCD73313,Other,551090370880,General,138926,682213,Ayushman Bharat,Ministry of Health and Family Welfare,No
Pranav Bala,50,231-35-6147,SQqgX45192,Male,260569838815,General,246104,450435,Ayushman Bharat,Ministry of Health and Family Welfare,No
Baljiwan Shah,39,340-90-5603,AEGqE87676,Male,606749760619,General,719035,320009,Ayushman Bharat,Ministry of Health and Family Welfare,No
Barkha Anand,47,696-46-3039,EiPik42913,Female,647381957785,ST,830624,36753,PDS,Ministry of Consumer Affairs,Yes
Suhani Madan,78,058-33-4636,vchDI67799,Female,895683845069,General,401571,450840,PDS,Ministry of Consumer Affairs,No
Madhavi Suri,47,967-84-1842,PAYYc77093,Male,593229331973,OBC,442426,586355,PDS,Ministry of Consumer Affairs,No
Oscar Char,36,477-98-5025,dyDPd92999,Male,704682114128,SC,117333,259054,Ayushman Bharat,Ministry of Health and Family Welfare,No
Sai Loyal,47,393-80-8419,fHmFw62381,Female,317385843995,General,295263,363183,PMAY,Ministry of Housing and Urban Affairs,No
Brinda Krishnan,46,616-15-2246,oRkUk33230,Male,619459214100,OBC,328796,792286,PMAY,Ministry of Housing and Urban Affairs,No
Karan Tailor,55,098-07-5902,FwTCe68617,Male,153074429179,OBC,912501,563896,Scholarship,Ministry of Education,No
Gagan Rama,76,939-01-4891,Hgtsd44143,Female,299349018684,General,228322,636785,PDS,Ministry of Consumer Affairs,No
Charvi Kapoor,26,035-69-1967,yeJDT02063,Female,189242674830,General,771561,753027,Ayushman Bharat,Ministry of Health and Family Welfare,No
Isha Jha,49,337-44-4801,gcVvi55809,Male,041076153067,General,741529,593425,Ayushman Bharat,Ministry of Health and Family Welfare,No
Yashoda Badal,78,646-45-2019,ypyaL41568,Female,606699026835,General,416448,153052,PMAY,Ministry of Housing and Urban Affairs,No
Vivaan Chander,77,571-29-2933,oSmNk53363,Female,768267780182,SC,806944,56261,Ayushman Bharat,Ministry of Health and Family Welfare,Yes
Ubika Andra,47,502-33-1310,InueZ01782,Female,908801842030,General,942699,473302,Ayushman Bharat,Ministry of Health and Family Welfare,No
Ekaja Ganesan,59,321-51-1786,IxNLt93549,Male,092839263358,OBC,640700,377743,Ayushman Bharat,Ministry of Health and Family Welfare,No
Vihaan Chana,41,125-54-8192,YghAs40041,Male,188382197151,General,401591,983843,MNREGA,Ministry of Rural Development,No
Anamika Din,67,646-71-8866,gwTAx71239,Male,566988378332,OBC,252740,378179,Scholarship,Ministry of Education,No
Daniel Lanka,77,333-32-6134,yMYjl64574,Female,350181284131,General,683710,718622,Scholarship,Ministry of Education,No
Jagdish Sarin,19,352-20-1064,RAsyW35072,Male,485446822512,ST,783339,365823,PMAY,Ministry of Housing and Urban Affairs,No
Zaid Deo,32,478-34-7492,ScEkt04496,Male,664113383069,General,687125,434342,PDS,Ministry of Consumer Affairs,No
Yachana Anne,71,090-26-1192,acdoX94071,Male,895762725088,OBC,410157,369179,PDS,Ministry of Consumer Affairs,No
Oliver Sandal,44,203-00-4190,YdAra41126,Female,599967435117,OBC,703831,432455,PMAY,Ministry of Housing and Urban Affairs,No
Charan Goswami,25,983-25-3946,IMnvH57077,Female,954605907363,General,532301,931066,PMAY,Ministry of Housing and Urban Affairs,No
Chandran Ramanathan,22,683-93-2571,WrGDy99413,Male,620996922779,OBC,748397,453715,Scholarship,Ministry of Education,No
Aryan Khurana,78,982-69-8316,nOBJD07192,Male,846911250685,OBC,317404,623779,MNREGA,Ministry of Rural Development,No
Raghav D’Alia,52,053-85-2701,NbHCn84089,Female,039189976078,OBC,363262,807579,Scholarship,Ministry of Education,No
Anirudh Taneja,38,209-89-1097,UUGgO30437,Female,375125878045,OBC,381953,261449,PDS,Ministry of Consumer Affairs,No
Januja Babu,67,247-93-5935,Hngpa63696,Female,235341983502,General,025119,872488,Scholarship,Ministry of Education,No
Aachal Dugar,32,539-20-1657,caUMG64259,Male,426948653728,General,977750,442307,PMAY,Ministry of Housing and Urban Affairs,No
Triveni Srinivasan,62,015-60-2666,yzgkS94918,Male,338020424903,OBC,032356,592798,PMAY,Ministry of Housing and Urban Affairs,No
